"Grupo de documentos","Segmento","Código","PARTIT","GENERE","PERCENT"
2005,"Bertomeu i Bertomeu","Familia_llar","PP","H",31.8
2005,"Boada i Masoliver","treball_sex","ICV","H",31.8
2005,"Bosch i Mestres","Salut_sexual","ICV","H",31.8
2005,"Camats i Luis","Violencia","ICV","D",31.8
2005,"Camp","treball","CIU","H",31.8
2005,"Camp","Salut_sexual","CIU","H",31.8
2005,"Camps","representacio","CIU","H",31.8
2005,"Camps","representacio","CIU","H",31.8
2005,"Cid i Pañella","Fem_igualtat","ERC","D",31.8
2005,"Cid i Pañella","Fem_igualtat","ERC","D",31.8
2005,"Cleries i Gonzàlez","Fem_igualtat","CIU","H",31.8
2005,"de Gispert i Català","Violencia","CIU","D",31.8
2005,"de Gispert i Català","Violencia","CIU","D",31.8
2005,"Díaz i Romero","Fem_igualtat","PSC","D",31.8
2005,"Díaz i Romero","Fem_igualtat","PSC","D",31.8
2005,"Freixanet i Mayans","Fem_igualtat","ERC","H",31.8
2005,"Geli i Fàbrega","Salut_sexual","PSC","D",31.8
2005,"Geli i Fàbrega","Salut_sexual","PSC","D",31.8
2005,"Geli i Fàbrega","Salut_sexual","PSC","D",31.8
2005,"Geli i Fàbrega","Salut_sexual","PSC","D",31.8
2005,"Geli i Fàbrega","Familia_llar","PSC","D",31.8
2005,"Geli i Fàbrega","Familia_llar","PSC","D",31.8
2005,"Labandera Ganachipi","Salut_sexual","PSC","H",31.8
2005,"Labandera Ganachipi","Salut_sexual","PSC","H",31.8
2005,"López Alegre","Familia_llar","PP","H",31.8
2005,"López Alegre","Violencia","PP","H",31.8
2005,"Maragall i Mira","Fem_igualtat","PSC","H",31.8
2005,"Maragall i Mira","Fem_igualtat","PSC","H",31.8
2005,"Maragall i Mira","Fem_igualtat","PSC","H",31.8
2005,"Mòdol i Bresolí","Salut_sexual","ERC","D",31.8
2005,"Porta i Abad","treball","ERC","D",31.8
2005,"Porta i Abad","representacio","ERC","D",31.8
2005,"Porta i Abad","Familia_llar","ERC","D",31.8
2005,"Prados","Familia_llar","PSC","D",31.8
2005,"Prados","Familia_llar","PSC","D",31.8
2005,"Prados","representacio","PSC","D",31.8
2005,"Prados","treball","PSC","D",31.8
2005,"Prados","Familia_llar","PSC","D",31.8
2005,"Prados","Familia_llar","PSC","D",31.8
2005,"Prados","Familia_llar","PSC","D",31.8
2005,"Prados","Familia_llar","PSC","D",31.8
2005,"Prados","treball","PSC","D",31.8
2005,"Puig i Godes","treball_sex","CIU","H",31.8
2005,"Puig i Godes","Violencia","CIU","H",31.8
2005,"Puig i Godes","treball_sex","CIU","H",31.8
2005,"Rañé i Blasco","Familia_llar","PSC","H",31.8
2005,"Rañé i Blasco","Familia_llar","PSC","H",31.8
2005,"Rañé i Blasco","Salut_sexual","PSC","H",31.8
2005,"Rañé i Blasco","Salut_sexual","PSC","H",31.8
2005,"Raventós i Pujadó","treball_sex","CIU","H",31.8
2005,"Raventós i Pujadó","treball_sex","CIU","H",31.8
2005,"Raventós i Pujadó","treball_sex","CIU","H",31.8
2005,"Ribera i Garijo","treball_sex","CIU","D",31.8
2005,"Ribera i Garijo","treball_sex","CIU","D",31.8
2005,"Rigau i Oliver","Salut_sexual","CIU","D",31.8
2005,"Rigau i Oliver","Salut_sexual","CIU","D",31.8
2005,"Segú","treball","PSC","D",31.8
